cf-release-version,diego-release-version,cflinuxfs2-release-version,garden-runc-release-version,cf-deployment-commit-sha
259,1.15.2,1.118.0,1.6.0,171fede2351726a520286ab89986946da100be2a
259,1.15.3,1.120.0,1.7.0,973af7c6873314f88595783c314a8a4b18320c84
